Delivery Date,Organization Name / Name,Class Year,Phone,Email,Beverage,Quantity,Price,Total Revenue
11/12/2020,Rorke Salzhauer,2021,974-123-4336,rsalzhauer@gmail.com,"Duke Juice, Mango Lime","40, 10",$175.0,
12/15/2020,Bannon Liss,2022,210-315-8467,bliss@gmail.com,"Duke Juice","33",$115.5,
12/24/2020,Reena Quinn,2022,702-957-7910,rquinn@gmail.com,"Duke Juice, Mango Lime","24, 1",$87.5,
12/24/2020,Drolet Schuster,2021,068-952-0027,dschuster@gmail.com,"Duke Juice, Mango Lime","24, 17",$143.5,
12/26/2020,Bren Guy,2023,545-704-0104,bguy@gmail.com,"Mango Lime","10",$35.0,
12/31/2020,Goodhen Hatch,2024,649-956-5480,ghatch@gmail.com,"Mango Lime","3",$11.25,
01/08/2021,Natalya Kayley,2020,601-011-8295,nkayley@gmail.com,"Mango Lime","15",$52.5,
01/09/2021,Jdavie Maximilian,2024,863-362-5260,jmaximilian@gmail.com,"Mango Lime, Duke Juice","32, 6",$133.0,
02/07/2021,Nollie Gottlieb,2021,958-250-3043,ngottlieb@gmail.com,"Mango Lime, Duke Juice","32, 12",$154.0,
02/07/2021,Colon Marijo,2024,603-708-1155,cmarijo@gmail.com,"Mango Lime, Duke Juice","37, 10",$164.5,
02/12/2021,Shama Goldston,2022,530-249-9301,sgoldston@gmail.com,"Duke Juice, Mango Lime","25, 13",$133.0,
02/16/2021,Nabal Bohlin,2024,559-734-3217,nbohlin@gmail.com,"Mango Lime","22",$77.0,
02/19/2021,Biddick Stacia,2022,885-040-9229,bstacia@gmail.com,"Mango Lime","14",$49.0,
02/23/2021,Edward Malik,2021,510-642-1940,emalik@gmail.com,"Mango Lime","16",$56.0,
02/25/2021,Dicks Birck,2024,291-406-6353,dbirck@gmail.com,"Duke Juice","36",$126.0,
04/03/2021,Aluino Theadora,2020,721-818-4472,atheadora@gmail.com,"Duke Juice, Mango Lime","24, 8",$112.0,
04/04/2021,Laing Athena,2021,706-400-9268,lathena@gmail.com,"Duke Juice, Mango Lime","16, 7",$80.5,
04/29/2021,Longawa Roland,2024,512-426-5268,lroland@gmail.com,"Mango Lime","9",$31.5,
05/08/2021,Hedley Goat,2023,107-489-0164,hgoat@gmail.com,"Duke Juice, Mango Lime","1, 9",$35.0,
05/09/2021,Ramona Fulbright,2023,175-575-1087,rfulbright@gmail.com,"Duke Juice, Mango Lime","4, 6",$35.0,
06/11/2021,Wald Le,2024,466-678-7998,wle@gmail.com,"Mango Lime","26",$91.0,
07/04/2021,Tannen Kitty,2024,970-968-3730,tkitty@gmail.com,"Mango Lime","21",$73.5,
08/07/2021,Albers Boland,2022,907-759-1818,aboland@gmail.com,"Mango Lime","3",$11.25,
08/12/2021,Philbo Robbi,2020,559-004-4432,probbi@gmail.com,"Duke Juice, Mango Lime","11, 19",$105.0,
08/14/2021,Evelinn Sheply,2020,935-935-1544,esheply@gmail.com,"Duke Juice","12",$42.0,
08/14/2021,Brook Yirinec,2021,987-485-8589,byirinec@gmail.com,"Duke Juice, Mango Lime","18, 17",$122.5,
08/25/2021,Ellga Khosrow,2023,891-860-5966,ekhosrow@gmail.com,"Duke Juice","9",$31.5,
09/09/2021,Heron Quiteria,2023,206-980-0254,hquiteria@gmail.com,"Mango Lime, Duke Juice","6, 30",$126.0,
09/14/2021,Jasmin Paula,2024,171-420-5994,jpaula@gmail.com,"Duke Juice, Mango Lime","18, 5",$80.5,
09/27/2021,Ozzie Sheedy,2020,422-322-0535,osheedy@gmail.com,"Mango Lime","24",$84.0,
10/02/2021,Gwendolin Essa,2023,427-000-1329,gessa@gmail.com,"Mango Lime, Duke Juice","10, 1",$38.5,
10/20/2021,Dyer Atul,2023,644-521-7380,datul@gmail.com,"Duke Juice, Mango Lime","6, 38",$154.0,
10/29/2021,Festus Royden,2020,252-973-3958,froyden@gmail.com,"Mango Lime, Duke Juice","16, 19",$122.5,
11/03/2021,Hannover Denie,2020,070-331-7394,hdenie@gmail.com,"Duke Juice","39",$136.5,
11/03/2021,Shishko Jowett,2020,613-803-8006,sjowett@gmail.com,"Duke Juice, Mango Lime","5, 7",$42.0,
